"x"
"1" "LEADERS	That  SHOULD  be a cause for celebration on both sides of the border"
"1253" "LEADERS	But Angela Merkel, the German chancellor,  SHOULD  get on with raising public investment"
"1254" "LEADERS	Ideally America  SHOULD  ban them too"
"1255" "LEADERS	If it cannot face the thought, it  SHOULD  at least reform them"
"1256" "LEADERS	Mandatory minimum sentences  SHOULD  be scrapped, and judges "
"1257" "LEADERS	Prosecutorial control over plea bargaining  SHOULD  be loosened, for instance by bringing in a magistrate judge who could take offers from both sides and act as adjudicator"
"1258" "LEADERS	Mr Holder’s successor  SHOULD  try much harder to rein in America’s over-mighty prosecutors"
"1259" "LETTERS	We  SHOULD  not move away from that plan in search of some “better, ideal solution” that is not well-thought out and has no place in an honest debate about missile defence"
"1260" "LETTERS	Second, in the economics of insurance, risk  SHOULD  be insured when it is unpredictable, uncertain, and large relative to the administrative costs of insuring it"
"1261" "BRIEFING	The hope is that he will persuade his counterparts that, this time, France is serious—and  SHOULD  be cut some slack on deficit reduction"
"1262" "BRIEFING	In one recent poll, fully 61% said that the legal 35-hour cap on weekly hours worked  SHOULD  be adjusted"
"1263" "BRIEFING	“We  SHOULD  have stressed, as soon as we took office, the real state of the economy,” Mr Valls says"
"1264" "ASIA	The World Bank says it  SHOULD  be trying to achieve growth rates of 9%"
"1265" "ASIA	However, two-thirds of members must be present, which  SHOULD  help Jokowi"
"1266" "ASIA	He was shocked by the commercialism he saw, joking that “one  SHOULD  never visit America for the first time”"
"1267" "EUROPE	Airbus  SHOULD  finally deliver the first of its new A400M aircraft to replace the old Transalls this autumn, she said"
"1268" "EUROPE	Another senior Social Democrat, Thorsten Schäfer-Gümbel, suggested that she  SHOULD  do more work and “fewer photo shoots”"
"1269" "INTERNATIONAL	One question asked at the meeting in Paris on September 25th was how users  SHOULD  be made aware of the fact that the results of a search have been affected by the ruling"
"1270" "INTERNATIONAL	Another was how publishers  SHOULD  react"
"1271" "INTERNATIONAL	More broadly, many wonder whether Google  SHOULD  remove links from searches everywhere, not just on its European sites"
"1272" "INTERNATIONAL	That would lead to a transatlantic row, but could also trigger a debate in America about why, for instance, American victims of revenge porn  SHOULD  not also be able to ask Google to stop linking to such content"
"1273" "BUSINESS	Comcast has agreed to divest around a quarter of TWC subscribers voluntarily, leaving it with around 30% of the national pay-TV market and 40% of high-speed broadband  SHOULD  the deal go through, according to Moffett Nathanson, a research firm"
"1274" "BUSINESS	However, German industry’s contribution to the surplus  SHOULD  grow as a result of its purchases of profitable American firms with a global reach"
"1275" "BUSINESS	Plug-in cars  SHOULD  change that"
"1276" "LEADERS	Latin America is even more gay-friendly: 74% of Argentines and 60% of Brazilians believe that society  SHOULD  accept homosexuality"
"1277" "LEADERS	The young have tended to lead the way: although only 16% of South Koreans over 50 think that homosexuality  SHOULD  be accepted, 71% of 18-to 29-year-olds do"
"1278" "LEADERS	Investors  SHOULD  therefore have recourse to an independent arbiter who can oblige the government to change course"
"1279" "LEADERS	All future bilateral and regional investment treaties  SHOULD  adopt this approach, and it "
"1280" "LEADERS	He is also insisting that America  SHOULD  make removing the Assad regime a higher priority than tackling IS"
"1281" "LEADERS	Mr Erdogan  SHOULD  use his troops to save Kobane—and give America permission to fly from the giant NATO airbase at nearby Incirlik"
"1282" "LEADERS	Mr Obama  SHOULD  work on that"
"1283" "LEADERS	This  SHOULD  be good news for the weaklings: their exporters will get more competitive, while pricier imports will ward off deflation"
"1284" "LEADERS	Rather than waiting for America to solve their problems, the laggards  SHOULD  treat the recent spate of bad news as a wake-up call"
"1285" "LEADERS	The ECB  SHOULD  start bond-buying forthwith"
"1286" "LEADERS	The Japanese government  SHOULD  delay the rise in the consumption tax until the economy recovers"
"1287" "LEADERS	Countries that can afford it, notably Germany,  SHOULD  invest in infrastructure"
"1288" "LEADERS	And even America and Britain  SHOULD  be wary, especially over tightening monetary policy too quickly"
"1289" "LEADERS	Ofsted, England’s schools inspectorate, has recently won powers to examine English academy chains, which  SHOULD  help"
"1290" "LEADERS	A rising generation of head teachers, trained in the new breed of schools,  SHOULD  be bolder in speeding up changes and squeezing out weaker staff"
"1291" "LEADERS	Better-run chains need clearer incentives to take over failing ones, but successful chains  SHOULD  not be encouraged to expand too far or too fast"
"1292" "LEADERS	Perhaps most important—and controversially—for-profit providers  SHOULD  be allowed into the mix, as they are in America and Sweden"
"1293" "LETTERS	Lajos BokrosBudapest Over there, again SIR – I profoundly disagree with your argument that America  SHOULD  have intervened in Syria earlier and that intervening now is a “test of America’s commitment to global security” (“Mission relaunched”, September 27th)"
"1294" "BRIEFING	“Yes”, they would say, “we  SHOULD  have the right to marry, but that doesn’t mean we "
"1295" "BRIEFING	It runs together various favoured themes: that the West is a corrupting influence best rejected; that tolerance and liberalism are alien to traditional Russian values; that the Orthodox church  SHOULD  be given a more prominent role"
"1296" "ASIA	Even without progress on OT’s second phase, Mongolia  SHOULD  be able to avert a full-blown crisis, thanks largely to offers of help from its southern neighbour, China"
"1297" "CHINA	Researchers at Hong Kong Polytechnic University found that 59% of 850 people surveyed since October 4th believed the territory  SHOULD  reject the national government’s plan for the election of Hong Kong’s chief executive in 2017"
"1298" "CHINA	The protesters say anyone  SHOULD  be allowed to stand"
"1299" "CHINA	On his visit, a frustrated Mr Li thundered that “companies  SHOULD  not be allowed to lose at the starting line due to excessive government regulations"
"1300" "EUROPE	Ms Romero  SHOULD  have been wearing the right protective clothing, have known the safety protocols properly, and been quickly spotted as a danger to public health once she fell ill"
"1301" "EUROPE	The authorities admit that Ms Romero  SHOULD  perhaps have been isolated earlier"
"1302" "EUROPE	Jaume Ribera at IESE, a business school, says Spain  SHOULD  have fewer but better-prepared people treating victims of Ebola"
"1303" "BRITAIN	So fixing education  SHOULD  start younger, with more academies, like King Solomon, taking pupils from the age of three up to 18"
"1304" "BUSINESS	This  SHOULD  not be surprising"
"1305" "LEADERS	Instead the first doses  SHOULD  be used to try to ensure that medical staff are safe, helping to eliminate today’s grave shortage of people willing to put themselves forward as carers"
"1306" "LEADERS	With luck the endorsement of Ms Silva, a former PT member born in poverty,  SHOULD  bolster his case"
"1307" "LEADERS	Faced with that possibility, a prudent government  SHOULD  prepare some counter-cyclical defences"
"1308" "LEADERS	The Germans  SHOULD  be supporting the European Central Bank’s big bond-buying scheme, not leading the opposition to it"
"1309" "LEADERS	That money  SHOULD  be used to accelerate “shovel-ready” federal projects, of which there are many, from repairing bridges to completing roads; and to help the cash-strapped states and municipalities that account for two-thirds of government infrastructure spending"
"1310" "LEADERS	Germany  SHOULD  do it now"
"1311" "LEADERS	To do that they must hold their nerve and let firms fail: a culture of bankruptcy  SHOULD  replace the lifelines and “evergreening” of useless loans"
"1312" "LEADERS	Indeed, the two other parties  SHOULD  spend far more time pointing out the contradictions in UKIP’s back-of-a-beer-mat economics"
"1313" "LETTERS	Instead, colleges  SHOULD  tell students what the legal definition of sexual assault is when they first arrive and help them if they want to go to the police if an assault occurs"
"1314" "ASIA	Better management of stock and reduced theft  SHOULD  lower “leakage” rates that touch 50% in places"
"1315" "ASIA	Further, says Robert Feldman of Morgan Stanley in Tokyo, it  SHOULD  be easier to take steps to guard against an economic slump than to counter the risk of a bond-market crisis"
"1316" "ASIA	Politicians arguing against a second tax rise will not be left empty-handed  SHOULD  the finance ministry get its way"
"1317" "CHINA	Mr Fan, the firearms expert, says that, in spite of the lack of oversight, police  SHOULD  still be given guns—they "
"1318" "CHINA	A high-speed rail link that opened in July running from the nearby provincial capital, Taiyuan, to Xi’an (home of the crowd-pulling Terracotta Army)  SHOULD  draw the crowds"
"1319" "EUROPE	Germany  SHOULD  exploit record low interest rates and its peerless fiscal leeway to borrow and invest more, many argued"
"1320" "EUROPE	After November 9th, he says, there  SHOULD  be a single-issue plebiscitary election, in which separatists stand together to allow Catalan voters formally to express their views on independence"
"1321" "EUROPE	But  SHOULD  it not worry about the Kurds spinning out of control"
"1322" "EUROPE	In Germany the unexpected rise of the anti-euro Alternative for Germany (AfD) is making it harder for Chancellor Angela Merkel to heed calls for a softer line on austerity or monetary policy—or,  SHOULD  it prove necessary, to commit more taxpayers’ money to euro-zone rescues"
"1323" "BRITAIN	But that  SHOULD  not make chasing voters who have defected to the party their priority"
"1324" "INTERNATIONAL	A military spokesman says the site  SHOULD  be completed by the end of the month"
"1325" "INTERNATIONAL	Dr Piot points to juxtaposed posters saying first that there is no cure and second that the infected  SHOULD  get to treatment centres"
"1326" "BUSINESS	Before it can aspire to Thailand’s level of industrial development it  SHOULD  aim to be a hub for low-cost manufacturing like its western neighbour, Bangladesh"
"1327" "LEADERS	Germany’s chancellor, Angela Merkel,  SHOULD  allow France and Italy to slow the pace of their fiscal cuts; in return, those countries "
"1328" "LEADERS	Others  SHOULD  follow Narendra Modi’s lead"
"1329" "LEADERS	Democrats and liberals  SHOULD  welcome the curb the oil price imposes on countries like Iran, Venezuela and Russia"
"1330" "LEADERS	If researchers could track population flows from an area where an outbreak had occurred, they could see where it would be likeliest to break out next—and therefore where they  SHOULD  deploy their limited resources"
"1331" "LEADERS	Governments  SHOULD  require mobile operators to give approved researchers access to their CDRs"
"1332" "LEADERS	The rest of the world  SHOULD  applaud, and help Tunisia complete the transition"
"1333" "LEADERS	Either is credible, but whichever wins  SHOULD  rule by consensus and liberalise the economy to rekindle growth"
"1334" "LEADERS	The Gulf states  SHOULD  help stabilise Tunisia rather than treat it as a fresh battleground in their proxy contest for and against the Muslim Brotherhood, as they do in Libya and Egypt"
"1335" "LEADERS	The West, for its part,  SHOULD  sustain civil-society groups, and provide more generous economic help in return for sensible economic reforms"
"1336" "LEADERS	Europe  SHOULD  open up its markets to Tunisia’s exports; if it does not want migrants (or perhaps jihadists) from Tunisia it "
"1337" "LEADERS	Although we felt there was a risk the Conservative prime minister was bending too far to the Eurosceptics in his party, who happily ignore the enormous economic cost Britain would incur by leaving the union, the issue had become so divisive that we believed Britons  SHOULD  get a say on the subject"
"1338" "LETTERS	That is a controversial proposition, one that  SHOULD  not be entered into lightly or given an overly broad scope"
"1339" "BRIEFING	“If it didn’t work for the Fed, why  SHOULD  it work for the ECB"
"1340" "AMERICAS	Mr Trudeau referred to the gunman as a criminal and said that Canada was a nation of fairness, justice and the rule of law, and  SHOULD  not be intimidated into changing that"
"1341" "AMERICAS	In the province of Quebec, soldiers were warned they could be targets and  SHOULD  avoid wearing their uniforms when off duty"
"1342" "AMERICAS	It  SHOULD  surely be possible to prevent that without a draconian regime"
"1343" "AMERICAS	Brazil will not (and  SHOULD  not) be a poodle of the United States"
"1344" "ASIA	Meanwhile, disagreements grew over whether the movement  SHOULD  negotiate with the Pakistani government"
"1345" "EUROPE	If nothing else, this  SHOULD  concentrate the minds in the Ukrainian government"
"1346" "INTERNATIONAL	But a price cut of 25% for oil, if maintained,  SHOULD  mean that global GDP will be roughly 0"
"1347" "INTERNATIONAL	Unless weak demand changes that, its foreign currency will go further, and living standards  SHOULD  rise"
"1348" "INTERNATIONAL	More generally, says Lin Boqiang of Xiamen University, lower prices  SHOULD  support the government’s efforts to reduce subsidies (it has already freed some gas prices, and electricity prices are expected to follow next year)"
"1349" "INTERNATIONAL	Analysts at Goldman Sachs reckon that cheaper oil and lower interest rates  SHOULD  add about 0"
"1350" "INTERNATIONAL	This  SHOULD  lead to lower interest rates, boosting investment"
"1351" "INTERNATIONAL	As in China, cheaper oil  SHOULD  reduce the pain of cutting subsidies—and on October 19th Narendra Modi, India’s prime minister, said he would finally end diesel subsidies, free diesel prices and raise natural-gas prices"
"1352" "INTERNATIONAL	The fall in the oil price  SHOULD  reduce that, all else being equal, to about $400 billion"
"1353" "INTERNATIONAL	We  SHOULD  have said mid-June"
"1354" "INTERNATIONAL	We  SHOULD  have said \"earnings before interest\""
"1355" "BUSINESS	That  SHOULD  give TV bosses a bit of comfort for the upcoming season but they would do well not to lose sight of the wider narrative arc"
"1356" "BUSINESS	It may also be difficult for the smaller firms to invest in technologies that support autonomous driving,  SHOULD  it prove popular"
"1357" "BUSINESS	The third principle is that you  SHOULD  always try to get a job where there is no clear relation between input and output"
"1358" "BUSINESS	Cyber-loafing your way to the top The final principle of skiving is that you  SHOULD  not allow your preference for leisure to limit your ambition"
"1359" "LEADERS	The two sides cannot agree on how many centrifuges Iran  SHOULD  be able to use to enrich uranium, how long an agreement "
"1360" "LEADERS	Iran hints that America  SHOULD  give ground in the nuclear talks so as to secure Iranian help in the Middle East"
"1361" "LEADERS	Despite this month’s deadline, the P5+1  SHOULD  be patient"
"1362" "LEADERS	The world  SHOULD  neither break the talks with impossible demands, nor give way to Iran for fear that there will never be a better opportunity"
"1363" "LEADERS	Instead, the P5+1  SHOULD  hold out for the right deal"
"1364" "LEADERS	So if moderate Americans want to influence how their government taxes, spends, regulates and wages war, they  SHOULD  tick a box next week"
"1365" "LEADERS	Emerging-world governments  SHOULD  also outlaw cross-ownership and strengthen the rights of non-family shareholders, as America did in the 1930s and other countries have done more recently"
"1366" "LEADERS	The remarkable record of the best family firms  SHOULD  remind millions of business owners that, in the corporate world at least, you do not have to surrender family control in order to prosper"
"1367" "LEADERS	Damaging though the Petrobras scandal is for the PT, it  SHOULD  be properly investigated"
"1368" "LEADERS	If he really wants to clean up the system and defuse public anger, he  SHOULD  give Chinese citizens the rights enshrined in the constitution"
"1369" "LETTERS	PYLECo-chair, Columbia University Seminar in the RenaissanceNew York The need for speed SIR – Any new spending on Germany’s infrastructure  SHOULD  also include building an adequate broadband network (“Build some bridges and roads, Mrs Merkel”, October 18th)"
"1370" "BRIEFING	When the Communist Party allowed entrepreneurs to join in 2001, some voices suggested that it  SHOULD  also allow religious believers to do so"
"1371" "BRIEFING	Mr Liu says the party  SHOULD  allow its members to be believers, since an age of toleration would benefit the party as well as the churches"
"1372" "BRIEFING	There  SHOULD  be a “religious free market”"
"1373" "BRIEFING	The gathering produced a document, called the Oxford Consensus, emphasising that the centre of the Chinese nation is the people, not the state; that culture  SHOULD  be pluralistic; and that China must always behave peacefully towards others"
"1374" "ASIA	For much of this year the coalition squabbled in unseemly fashion over who  SHOULD  fill the plum post in Selangor, earmarked for Mr Anwar before his conviction rendered him ineligible"
"1375" "ASIA	Bharati Dey, president of the All India Network of Sex Workers, argues that prostitution is a matter of choice, and that sex workers  SHOULD  have rights like anyone else"
"1376" "ASIA	Five years ago the Supreme Court said prostitution  SHOULD  be legalised"
"1377" "ASIA	 A priority  SHOULD  be ending forced prostitution, especially of children"
"1378" "ASIA	Speaking on Taiwan’s National Day on October 10th, as honour guards twirled rifles and dancing girls imitated butterflies, he argued that Chinese leaders  SHOULD  make Hong Kong a democratic region separate from the mainland, experimenting with political reform as China did with capitalism when it set up special economic zones in the 1980s"
"1379" "ASIA	China’s president, Xi Jinping, has said the Taiwan problem  SHOULD  not be left to future generations"
"1380" "ASIA	Other flags competed with it, and the current flag was adopted in 1902 after arguments over which one  SHOULD  go with New Zealand troops into the Boer war"
"1381" "ASIA	” And then comes the question of what the new flag  SHOULD  look like"
"1382" "EUROPE	Perhaps, mused some, the EU  SHOULD  rebrand itself the “Environmental Union"
"1383" "EUROPE	Two “sub-targets” of 27%, on the renewable share of the energy mix and on improvements to energy efficiency, were included in the deal but have no teeth (the renewables goal is binding only at “EU level”, which leads one to wonder if the club will sue itself  SHOULD  it be missed)"
"1384" "EUROPE	An Anglo-German plan to accelerate a withdrawal of permits from the market  SHOULD  help, although the Poles will yet again have to be talked round"
"1385" "BRITAIN	And it will supply clinics equally, which  SHOULD  reduce inequality between donation-rich urban areas and those where supplies are scarce"
"1386" "BUSINESS	Another is the tension between the increasing globalisation of French industry and a centuries-old principle that business  SHOULD  serve the narrow national interest"
"1387" "BUSINESS	Businesses that are sceptical about the value of marketing, and about the possibilities for creating consumer awareness rapidly,  SHOULD  look closely at how Hollywood manages to come up with new brands on a near-weekly basis"
"1388" "OBITUARY	A voter who heckled him on abortion was told that, in his case, “we  SHOULD  make it retrospective”"
"1389" "LEADERS	Yet as Republicans toast their triumph, they  SHOULD  be careful not to over-interpret it"
"1390" "LEADERS	Third, other states  SHOULD  copy California’s open primaries"
"1391" "LEADERS	The then defence minister, Moshe Dayan, thought the Jews  SHOULD  show tolerance"
"1392" "LEADERS	The chief rabbis said ritually impure Jews  SHOULD  stay out for fear that they might defile the temple’s Holy of Holies, its inner sanctum, whose precise spot was unknown"
"1393" "LEADERS	The federal government and Congress  SHOULD  face up to the reality that across swathes of America, pot is now all but legal—and voters want it that way"
"1394" "LEADERS	They  SHOULD  redirect their efforts to making it as well-regulated as booze and cigarettes"
"1395" "LEADERS	On the tax, however, he  SHOULD  tread cautiously"
"1396" "LEADERS	So Mr Abe  SHOULD  instead announce legislation for the tax to go up by one percentage point a year, for 12 years"
"1397" "LEADERS	The increases  SHOULD  start when the economy can bear it"
"1398" "LETTERS	We  SHOULD  improve democracy and make voting truly convenient for all"
"1399" "BRIEFING	Getting a bill safely through the House, something that has become harder since Republicans adopted the idea that bills  SHOULD  have the support of a majority of their caucus to pass, is straightforward compared with getting one through the Senate, thanks to the filibuster rule"
"1400" "AMERICAS	“Structural changes” are needed, he adds, but they  SHOULD  not be rushed in response to media or social pressure"
"1401" "ASIA	Though Mr Sharif  SHOULD  hang on—most in parliament support him and the army looks unready to suspend democracy—Mr Khan is a distraction"
"1402" "ASIA	Kim Moo-sung, who became chairman of the Saenuri party in July, has suggested a debate on constitutional reform  SHOULD  restart"
"1403" "ASIA	In theory, the definitive transition from military rule  SHOULD  come at an election to be held in a year’s time, when Miss Suu Kyi’s National League for Democracy (NLD) is expected to emerge as the largest single party"
"1404" "CHINA	But if a child has enough time in the open, they can study all they like and their eyesight  SHOULD  not suffer, says Ian Morgan of Australian National University"
"1405" "EUROPE	” The Koreas  SHOULD  be so lucky, if they ever get their chance"
"1406" "EUROPE	But the elite has grasped that Germany  SHOULD  accept more responsibility"
"1407" "EUROPE	Why, after years of pain,  SHOULD  serious discontent emerge just when things appear to be on the turn"
"1408" "EUROPE	Ireland’s newly assembled fan club  SHOULD  tread carefully"
"1409" "BRITAIN	Mr Osborne and his pro-devolution rivals  SHOULD  be ready for some bumps in the road"
"1410" "BRITAIN	First, perhaps, they  SHOULD  make sure they can define it"
"1411" "INTERNATIONAL	GWI’s picture, it  SHOULD  be said, is far from complete"
"1412" "BUSINESS	But  SHOULD  they"
"1413" "OBITUARY	” As she, of all people,  SHOULD  have known"
"1414" "LEADERS	All your dreams are on their way Rather than entrench rivalries by creating two parallel systems, the Pacific powers  SHOULD  focus on adapting today’s institutions"
"1415" "LEADERS	TPP  SHOULD  be a symbol of America’s commitment to the Pacific; with more effort, Mr Obama could sell it to both a pro-business Republican Congress and a foot-dragging Japan"
"1416" "LEADERS	Western governments  SHOULD  make clear, now, that they will furnish more funds"
"1417" "LEADERS	Under the new dispensation, however, “systemically important” banks  SHOULD  be able to endure a 20% fall in the value of their assets before placing panicky calls to the central bank"
"1418" "LEADERS	Impose demanding capital rules, but stop adding more red tape: that  SHOULD  be the mantra of bank regulators just about everywhere"
"1419" "LEADERS	So it is not surprising that Spain, which has bad memories of its own civil war,  SHOULD  oppose independence for Catalonia"
"1420" "LEADERS	The case for holding a referendum is strong, but if there is one, Catalonia  SHOULD  vote to stay part of Spain"
"1421" "LEADERS	Yet there are both principled and pragmatic reasons why the government  SHOULD  permit a vote"
"1422" "LEADERS	The pragmatic case for a referendum is that, until recently, polls suggested that fewer than half of Catalans wanted independence, but a huge majority believed they  SHOULD  have the right to choose"
"1423" "LEADERS	So the government  SHOULD  let the Catalans have a referendum"
"1424" "LEADERS	It  SHOULD  set some conditions, such as a minimum turnout of 80%, and maybe even a second vote, three years later"
"1425" "LEADERS	As Canada did with Quebec in its 2000 Clarity Act, it  SHOULD  insist on a fair process in any vote—a clear question that gets a clear answer, in other words"
"1426" "LEADERS	It  SHOULD  then devote its energy to persuading the Catalans to stay"
"1427" "LEADERS	It  SHOULD  restore the powers that were ruled against by the Spanish constitutional court in 2010"
"1428" "LEADERS	It  SHOULD  also promise a constitutional convention that looks again at the distribution of powers agreed on in 1978"
"1429" "LEADERS	Iguala is not the only town where criminals run the police: in such places, the federal government  SHOULD  take temporary control of the police and administration"
"1430" "LEADERS	Mr Peña  SHOULD  lead an effort to clean up state police forces and local courts"
"1431" "LEADERS	A bill to make the attorney-general’s office independent and to create an anti-corruption agency  SHOULD  be fast-tracked"
"1432" "BRIEFING	Why  SHOULD  they have to spend time, effort and money to travel to a bank branch"
"1433" "BRIEFING	This disruption  SHOULD  improve the lives of the world’s poor, even as it challenges and alters the business models of mainstream lenders"
"1434" "AMERICAS	Eduardo Bohórquez of Transparencia Mexicana, an NGO, says it shows why Mexican politicians  SHOULD  be forced to declare their financial interests and their families’ assets"
"1435" "ASIA	But why  SHOULD  he even think of doing so"
"1436" "CHINA	One was the agreement on information technology, which  SHOULD  now clear the way for a World Trade Organisation pact on IT products"
"1437" "CHINA	And for all that Mr Xi says China and America  SHOULD  become an “anchor of world stability and propeller of world peace”, sharp differences emerged in his press conference with Mr Obama at the conclusion of their summit"
"1438" "EUROPE	Ms Mogherini  SHOULD  instruct her envoy to look into Eulex as a whole, not just the latest scandal"
"1439" "EUROPE	A bigger problem is that other budgetary hawks, such as Germany and Sweden, feel betrayed, since reopening the rules may let the European Parliament restart its argument that the budget  SHOULD  be much bigger"
"1440" "BRITAIN	The police decide whether an individual  SHOULD  be prosecuted or given the opportunity for deradicalisation"
"1441" "BRITAIN	But he  SHOULD  take two lessons from the man who could usurp him, but chooses not to"
"1442" "BRITAIN	Mr Miliband  SHOULD  acknowledge his own by presenting himself as leader of a team, not a one-man band (as is his wont)"
"1443" "BRITAIN	Labour’s leader  SHOULD  ditch his starchy formulations and clichés"
"1444" "BRITAIN	Mr Miliband may not have Mr Johnson’s gritty appeal, but if he cannot learn from it, he  SHOULD  step aside"
"1445" "BUSINESS	If all goes to plan, the influx of capital and the fall in energy costs  SHOULD  boost productivity and profits across Mexican industry, lifting the country’s hitherto anaemic growth rate—the main objective that President Enrique Peña Nieto had in mind when promoting the energy reforms"
"1446" "BUSINESS	The energy-bidding process will be overseen by a variety of ministries and regulators, which  SHOULD  help promote openness—though it may also promote bureaucracy"
"1447" "BUSINESS	But Barack Obama’s statement, on November 10th, called for clarity in the debate about “net neutrality”—a cherished principle that all traffic on the internet  SHOULD  be treated equally"
"1448" "BUSINESS	However, the president’s intervention makes it even more unlikely that the FCC will finalise new rules on how internet-service providers (ISPs)  SHOULD  treat traffic on their networks this year, as it had planned to"
"1449" "BUSINESS	On the other side, the cable and telecoms firms, which are the main broadband providers, argue that they  SHOULD  be allowed to charge firms that generate a lot of traffic, such as Netflix, a film-streaming service, for reliable access to their customers"
"1450" "BUSINESS	But its “cautionary tale”, as Mr Soames puts it,  SHOULD  give pause to any company thinking of entering a growing market for the hard end of outsourced government services: not cleaning, catering or maintaining computers, but such things as guarding prisoners and dealing with welfare claimants"
"1451" "BUSINESS	Companies  SHOULD  make sure they include plenty of women among the high-flyers selected for challenging assignments"
"1452" "BUSINESS	Senior women  SHOULD  take their role as mentors seriously"
"1453" "BUSINESS	Employers  SHOULD  encourage, not penalise, fathers who take parenting breaks, and let them work flexible hours so they can do the school run"
"1454" "BUSINESS	Selection committees  SHOULD  stop putting so much emphasis on continuity of service, and penalising women who take career breaks to care for young children"
"1455" "LEADERS	Religion  SHOULD  make Jerusalem a place of sublime spirituality"
"1456" "LEADERS	For now both leaders  SHOULD  at least avoid demonising each other because that only makes it harder to talk tomorrow"
"1457" "LEADERS	Today that could be as little as two months; it  SHOULD  be at least a year, so that any attempt at “breakout” or “sneakout” (in, say, a secret uranium-enrichment plant) would be caught in good time"
"1458" "LEADERS	The UN sanctions  SHOULD  be the last to go because they would be the hardest to restore"
"1459" "LEADERS	Such a compromise would fall well short of the maximalist demands of Iranian hardliners, including the supreme leader, Ayatollah Ali Khamenei, who continue to believe that Iran  SHOULD  have a nuclear-weapons option, if not the bomb itself"
"1460" "LEADERS	It would also provoke outrage among sceptical members of America’s Congress and Israel’s prime minister, Binyamin Netanyahu, who insist that Iran’s record of cheating means it  SHOULD  have no enrichment programme at all"
"1461" "LEADERS	The motto for the People’s Bank of China (PBOC)  SHOULD  be: “If you know what we did, we must have done it wrong”"
"1462" "LEADERS	Instead of letting the market allocate resources, the central bank is choosing which banks  SHOULD  be the beneficiaries of easing, and how they "
"1463" "LEADERS	It  SHOULD  combine a cut in interest rates with a clear explanation of why it is cutting (to ward off the threat of deflation) and a promise to greet any rush to greater leverage with much stricter credit rules"
"1464" "LEADERS	The PBOC  SHOULD  too"
"1465" "LETTERS	We  SHOULD  not be so quick to reject this notion of sacrifice, for the result could make a monumental difference"
"1466" "AMERICAS	But if the lesson is learned that averages  SHOULD  not be the sole basis for making policy decisions, it will have been a step in the right direction"
"1467" "ASIA	Mr Abbott argued in Brisbane that climate talks  SHOULD  happen elsewhere, not at meetings of the G20"
"1468" "ASIA	It was also because the former World Banker had a vision for how Afghanistan  SHOULD  seize the great opportunity, including billions in aid money, suddenly afforded it"
"1469" "CHINA	It sends the message to today’s best and brightest that they  SHOULD  still spend their most productive years abroad"
"1470" "EUROPE	Germany  SHOULD  do more to stimulate domestic consumption and investment, goes the refrain"
"1471" "EUROPE	Marcel Fratzscher, an adviser to Sigmar Gabriel, the economics minister, says that Germany  SHOULD  boost investment for its own good"
"1472" "EUROPE	Christoph Schmidt, chairman of the council of economic experts that advises the government, suggests that “the black zero  SHOULD  not be a fetish”"
"1473" "EUROPE	Germany’s municipal governments, not the federal one,  SHOULD  be the ones to raise public investment"
"1474" "BRITAIN	 But unlike other departments, forced to cut and reform, it lacks a clear consensus and firm direction on how it  SHOULD  adjust to straitened times"
"1475" "BRITAIN	If that’s possible, earthlings would have further evidence that the theory is true, and they  SHOULD  also, eventually, be able to locate black holes more accurately"
"1476" "BRITAIN	Mr Cameron  SHOULD  worry a lot more about competitiveness, and not trash the global brand Britons are lucky to have"
"1477" "INTERNATIONAL	SWIFT is a “global utility”, says one, and using it for sanctions  SHOULD  be “an extraordinary step, to be used in only the most extraordinary situations”"
"1478" "INTERNATIONAL	How much governments  SHOULD  do to promote healthier lifestyles sparks vigorous debate, especially among Americans, who prize freedom as much as freedom fries"
"1479" "BUSINESS	5% a year, is weaker than it  SHOULD  be, given its young and educated population, and its wealth of natural resources"
"1480" "BUSINESS	On November 17th it emerged that an Uber executive, Emil Michael, had said at a private dinner that the firm  SHOULD  consider spending $1m to dig up dirt on its critics in the media, in particular Sarah Lacy, the editor of Pando, a tech-news site"
"1481" "BUSINESS	Those hoping for the death of the SIM card in its current, inflexible form  SHOULD  be careful what they wish for, and not just for security reasons"
"1482" "BUSINESS	Terms and conditions All this is not to say that we  SHOULD  start chanting: “Short-term good, long-term bad”"
"1483" "LEADERS	There are also good reasons why governments  SHOULD  regulate internet monopolies less energetically than offline ones"
"1484" "LEADERS	Instead of attacking successful American companies, Europe’s leaders  SHOULD  ask themselves why their continent has not produced a Google or a Facebook"
"1485" "LEADERS	But to address these concerns, they  SHOULD  regulate companies’ behaviour, not their market power"
"1486" "LEADERS	Governments  SHOULD  not do it"
"1487" "LEADERS	Cyber-warriors  SHOULD  remember that what they do to others will be done in turn to them"
"1488" "LEADERS	If there was one lesson from the attack on Rodney King, it was that police officers  SHOULD  behave like civilians, not an occupying army"
"1489" "LEADERS	Smaller cities  SHOULD  stop using their police forces and courts as tax-collectors"
"1490" "LEADERS	Police shootings  SHOULD  be taken much more seriously, and the federal government "
"1491" "LEADERS	Efforts  SHOULD  also be made to increase voter turnout"
"1492" "LEADERS	Although its budget  SHOULD  be better spent—it remains ludicrous to devote 40% of it to farm subsidies—it adds up to less than 1% of the EU’s total GDP"
